id;tracking_number;shipped_date;delivery_date
1;within ha;2024-10-20T19:39:19;2024-10-20T15:13:30
2;whether;2024-10-21T06:39:16;2024-10-20T23:16:29
3;given rosemary;2024-10-21T06:58:50;2024-10-21T11:15:26
4;pomelo jeopardise;2024-10-21T00:44:11;2024-10-20T21:02:51
5;before closed;2024-10-20T23:32:40;2024-10-20T19:06:28
6;quizzically;2024-10-21T06:48:20;2024-10-20T16:49:14
7;fortunately;2024-10-21T10:55:37;2024-10-21T14:56:02
8;jealous witty oof;2024-10-21T09:00:44;2024-10-20T22:09:29
9;table pause;2024-10-20T18:30:55;2024-10-21T02:47:41
10;premier mobility;2024-10-21T11:58:53;2024-10-21T06:27:55
