id;invoice_number;issue_date;due_date;amount
1;foolishly emerge drat;2024-10-21T12:36:47;2024-10-21T15:02:08;12898.14
2;depute drat grandson;2024-10-21T02:45:59;2024-10-21T08:14:16;4679.93
3;across;2024-10-21T10:57:53;2024-10-20T16:36:18;13448.07
4;for;2024-10-21T09:05:35;2024-10-21T13:38:36;7174.97
5;gee scram;2024-10-20T18:24:12;2024-10-21T09:36:56;16042.54
6;modulo;2024-10-21T03:43:27;2024-10-21T00:06:03;28718.53
7;whose;2024-10-21T09:58:42;2024-10-20T18:41:18;15597.78
8;entice epic;2024-10-21T04:22:28;2024-10-20T16:06:31;11896.86
9;amid;2024-10-20T23:57:12;2024-10-21T10:28:16;26948.72
10;dicker deeply violin;2024-10-21T02:41:21;2024-10-21T12:09:00;4540.78
