id;tracking_number;shipped_date;delivery_date
1;meh;2024-10-20T15:14:48;2024-10-21T02:40:46
2;um;2024-10-20T13:17:26;2024-10-21T07:48:01
3;royal;2024-10-20T18:25:39;2024-10-21T02:40:35
4;cappelletti;2024-10-20T17:38:38;2024-10-20T22:50:32
5;sheathe as midst;2024-10-21T02:15:16;2024-10-20T22:27:44
6;unless gracefully;2024-10-21T07:00:23;2024-10-20T15:59:42
7;dress;2024-10-20T14:32:41;2024-10-20T20:06:11
8;bustling hence instead;2024-10-21T07:43:46;2024-10-21T05:56:04
9;pip serpentine intensely;2024-10-20T11:00:36;2024-10-20T12:23:32
10;judicious;2024-10-20T23:23:01;2024-10-20T14:25:09
