id;invoice_number;issue_date;due_date;amount
1;foolishly emerge drat;2024-10-21T08:28:00;2024-10-21T10:53:21;12898.14
2;depute drat grandson;2024-10-20T22:37:12;2024-10-21T04:05:29;4679.93
3;across;2024-10-21T06:49:06;2024-10-20T12:27:31;13448.07
4;for;2024-10-21T04:56:48;2024-10-21T09:29:49;7174.97
5;gee scram;2024-10-20T14:15:25;2024-10-21T05:28:09;16042.54
6;modulo;2024-10-20T23:34:40;2024-10-20T19:57:16;28718.53
7;whose;2024-10-21T05:49:55;2024-10-20T14:32:31;15597.78
8;entice epic;2024-10-21T00:13:41;2024-10-20T11:57:44;11896.86
9;amid;2024-10-20T19:48:25;2024-10-21T06:19:29;26948.72
10;dicker deeply violin;2024-10-20T22:32:34;2024-10-21T08:00:13;4540.78
