id;invoice_number;issue_date;due_date;amount
1;sensitize which;2024-10-20T12:08:44;2024-10-21T05:09:48;26136.27
2;volleyball greedily;2024-10-20T14:17:34;2024-10-21T01:58:58;4027.71
3;who reassuringly inure;2024-10-20T15:20:12;2024-10-21T08:51:57;14951.91
4;versus providence very;2024-10-21T02:40:15;2024-10-21T05:42:32;18694.57
5;which instead er;2024-10-20T14:29:41;2024-10-20T15:50:41;32521.77
6;harangue;2024-10-20T18:20:14;2024-10-20T20:27:21;20002.22
7;drain;2024-10-20T22:54:26;2024-10-21T10:47:00;26780.63
8;wolf charter;2024-10-21T07:31:39;2024-10-21T05:21:10;8424.97
9;oh huzzah psst;2024-10-20T23:47:13;2024-10-20T20:04:16;26258.74
10;wrongly;2024-10-21T05:14:41;2024-10-20T11:21:32;28736.54
