id;invoice_number;issue_date;due_date;amount
1;mid;2024-10-20T22:44:05;2024-10-21T00:33:37;31074.64
2;regarding before sadly;2024-10-21T08:56:25;2024-10-21T01:47:23;25917.4
3;weight;2024-10-20T17:02:11;2024-10-20T12:36:39;4322.44
4;markup once;2024-10-20T14:47:55;2024-10-21T01:01:34;387.9
5;astride heartfelt;2024-10-20T17:43:35;2024-10-20T21:57:48;11688.51
6;ouch;2024-10-20T13:24:04;2024-10-20T12:20:08;14350.48
7;claw barring SUV;2024-10-21T01:49:21;2024-10-21T01:52:59;3623.16
8;wry;2024-10-21T01:30:41;2024-10-21T07:47:34;14171.2
9;progress;2024-10-20T21:33:08;2024-10-21T10:41:26;10390.74
10;even;2024-10-20T11:48:49;2024-10-21T09:57:18;28555.9
