id;rating;comment;review_date
1;2;../fake-data/blob/hipster.txt;2024-10-21T07:38:32
2;3;../fake-data/blob/hipster.txt;2024-10-21T04:26:52
3;4;../fake-data/blob/hipster.txt;2024-10-20T20:50:42
4;3;../fake-data/blob/hipster.txt;2024-10-21T08:16:00
5;1;../fake-data/blob/hipster.txt;2024-10-20T15:43:53
6;1;../fake-data/blob/hipster.txt;2024-10-21T00:28:39
7;1;../fake-data/blob/hipster.txt;2024-10-21T01:44:31
8;4;../fake-data/blob/hipster.txt;2024-10-20T14:27:11
9;4;../fake-data/blob/hipster.txt;2024-10-20T22:33:29
10;2;../fake-data/blob/hipster.txt;2024-10-21T03:50:55
