id;invoice_number;issue_date;due_date;amount
1;octave moralise;2024-10-21T07:40:00;2024-10-20T14:45:39;27304.56
2;needily narrowcast phew;2024-10-20T13:21:03;2024-10-20T14:08:49;4260.17
3;uh-huh near;2024-10-20T20:04:12;2024-10-21T01:49:32;16652.73
4;fleck thunderbolt;2024-10-21T07:35:16;2024-10-20T20:41:07;28276.45
5;custody epic helpfully;2024-10-20T18:28:03;2024-10-21T09:34:32;1181.84
6;debit;2024-10-20T14:17:12;2024-10-20T15:40:37;28089.18
7;instead um exactly;2024-10-21T06:33:41;2024-10-20T14:59:40;13622.9
8;motionless mountain;2024-10-20T11:45:10;2024-10-21T00:14:34;29692.7
9;mould per;2024-10-20T17:56:10;2024-10-20T23:47:29;32684.23
10;yuck if;2024-10-21T00:40:06;2024-10-20T19:57:38;1065.76
