id;source_title;source_url;collected_date
86e57cd3-c73d-4b78-8676-a45658a60ecc;tributary;congregate;2024-10-21T11:17:06
66211e04-c9f4-4845-9d44-c7ef05a2fb5f;stir-fry luck;notwithstanding platter pace;2024-10-21T06:15:13
67f0662f-92f3-43da-81d8-b29d0158cde0;pro;jovially;2024-10-20T22:01:13
b2948dd4-f172-4ffa-bd12-ffb08b35446c;ick creature ick;afore;2024-10-20T20:32:36
d8bd699d-c15f-4649-9269-02a18f9d7c33;loosely;epic;2024-10-20T19:09:28
92ae40e6-c222-4ce3-b4fa-b87771bad1a1;sell while;pfft gentle;2024-10-21T12:37:25
4623d244-78e2-46f0-aeab-b365503964bf;uh-huh schlep;question than yuck;2024-10-21T02:22:04
87867f82-772c-41f5-870c-32319d4d05d5;bah;entrench;2024-10-21T07:13:00
e585bce3-4316-416d-ab95-c36ef7fd9e50;porter;oh inwardly vice;2024-10-21T02:05:07
d2b81342-8897-4128-9000-d4858e54a496;iridescence besides;of thorough;2024-10-21T05:40:19
