id;tracking_number;shipped_date;delivery_date
1;meh;2024-10-20T13:25:00;2024-10-21T00:50:58
2;um;2024-10-20T11:27:38;2024-10-21T05:58:13
3;royal;2024-10-20T16:35:51;2024-10-21T00:50:47
4;cappelletti;2024-10-20T15:48:50;2024-10-20T21:00:44
5;sheathe as midst;2024-10-21T00:25:28;2024-10-20T20:37:56
6;unless gracefully;2024-10-21T05:10:35;2024-10-20T14:09:54
7;dress;2024-10-20T12:42:53;2024-10-20T18:16:23
8;bustling hence instead;2024-10-21T05:53:58;2024-10-21T04:06:16
9;pip serpentine intensely;2024-10-20T09:10:48;2024-10-20T10:33:44
10;judicious;2024-10-20T21:33:13;2024-10-20T12:35:21
