id;name;description;weight;property_type
1;huzzah voluntarily memorable;sedately yet left;14386;HOTEL
2;down incidentally carelessly;hm consign powerfully;19502;ROOM
3;enchanted exhausted;playfully;14811;APARTMENT
4;holster than;while;24058;HOTEL
5;above vainly upon;density sup yowza;30973;ROOM
6;eventually throughout usually;untidy;19434;BUNGALOW
7;fluctuate why amused;eek playfully ah;16927;APARTMENT
8;inasmuch;inasmuch strictly connect;25403;ROOM
9;hmph tusk yahoo;keenly;23845;HOUSE
10;huzzah;given now leading;29297;ROOM
