id;title;description;number_of_participants;planned_date;planned_duration_in_minutes;actual_date;actual_duration_in_minutes;content_jason
c0323123-873c-4d1c-8ebc-0564139b90c5;bitterly functional advancement;swerve between;19001;2024-10-21T16:54:56;5188.02;2024-10-21T02:22:08;20412.16;following scotch till
16dd98c1-e87b-4a05-9712-4ee46f128c2f;pleased;excepting;2649;2024-10-20T17:54:47;7459.73;2024-10-21T07:59:52;14504.73;like remand packaging
bfd3369a-f415-4073-bd76-13984678848a;ski creature;reassuringly present beside;7665;2024-10-21T03:35:53;9274.66;2024-10-20T21:17:05;13537.22;plus now
b3ec2cb6-1f68-4a9a-bfe4-431a64ff9598;readmit meh triangular;ultimate vastly vibraphone;22729;2024-10-21T13:47:51;8638.41;2024-10-21T05:44:21;29990.35;eek wrongly boo
079079d0-2879-4a86-8a73-e0c287773743;unnaturally blah wide-eyed;furthermore daily brr;29285;2024-10-21T03:03:03;31175.74;2024-10-21T13:52:47;30681.33;importance stoop past
7d7c98a8-0f33-43be-b824-2b9cdae8e041;yahoo;needily;20195;2024-10-20T20:17:18;10510.86;2024-10-20T21:17:00;14679.33;duh muddy
f2db16ac-7f01-4070-9efd-35a359ff087f;immediately hype unnaturally;yum;28805;2024-10-21T09:00:04;5018.64;2024-10-21T02:14:58;1088.4;fervently yuck
d007c1c2-10db-40d8-a376-24148db0441c;once graffiti partially;aw;19167;2024-10-21T00:08:15;14914.29;2024-10-20T18:49:05;14806.26;along
6cdd8c34-c6fb-4199-8aae-9c072f4843b4;when;boo since;8773;2024-10-21T07:45:38;2788.3;2024-10-21T15:23:01;15888.33;since
bcb8dbc0-6fd0-4cab-a657-ca27a05405c5;inquisitively tomatillo on;commodity whenever ditch;28393;2024-10-20T21:30:17;18327.91;2024-10-21T12:08:57;14369.16;tomb linear
