id;name;description_heitiga;property_type;area_in_square_meter;number_of_adults;number_of_preschoolers;number_of_children;number_of_rooms;number_of_floors;bed_size;is_enabled
4e4caab6-08ef-4e15-b3c8-a1fdb74911d3;yearly sharply;husk;ROOM;11860.59;31705;5398;12751;20222;28875;DOUBLE;true
1a6cb22a-7703-49e9-ac87-410cc8e165a4;new;costume furthermore;ROOM;20830.28;12012;4698;14737;17092;7004;SINGLE;true
18e57b75-f942-4df3-95ae-9b85715b7ca0;definitive;publicity acidly;VILLA;22823.01;9355;13351;1816;4002;1233;DOUBLE;false
5db13b14-7d5e-4c15-a175-ec82fc36735f;qua;bah waft;ROOM;12867.93;23693;4404;4414;2696;1905;DOUBLE;false
e79ab284-525c-4665-a993-7f016f63e3e8;cleverly;unbearably pull;ROOM;5003.02;26399;4532;17603;5965;14967;DOUBLE;false
de86bf22-7210-44a1-b585-4e68fec02701;order consequently austere;carefully incidentally whisper;VILLA;6045.16;12188;32298;1735;21155;20449;SINGLE;true
509a204c-d715-4107-a26f-4d84d4c761f1;ick off embossing;toward ack split;VILLA;22512.25;28734;10677;24102;4324;18153;DOUBLE;false
322e3146-1daa-4f2f-8125-5468d9ae672b;deserted form gee;sans toward;ROOM;14214.99;15289;19221;27836;22222;26174;SINGLE;true
0c3717e3-5a6f-48ca-af1d-f2e841979656;loftily hmph whoever;bah;ROOM;17029.03;30326;31600;22184;14269;18316;SINGLE;false
24fab8cb-4a5b-4877-9218-a280530bd3ab;finally custom intervention;popularize;ROOM;27359.19;10904;10143;30204;32720;7728;DOUBLE;true
