id;type;supplier_id;customer_id
1;SUPPLIER_CUSTOMER_B2C;665faf1a-4ae3-4667-a57b-aeed649337bb;665faf1a-4ae3-4667-a57b-aeed649337bb
2;SUPPLIER_CUSTOMER_B2C;a16b67ee-15c3-4cb4-84ce-b955f5d810fc;a16b67ee-15c3-4cb4-84ce-b955f5d810fc
3;SUPPLIER_CUSTOMER_B2B;843f6932-6503-4856-980c-3b9dc398dfa1;843f6932-6503-4856-980c-3b9dc398dfa1
4;SUPPLIER_CUSTOMER_B2B;2c456e1c-d650-4301-8c33-a6ae9b784d8a;2c456e1c-d650-4301-8c33-a6ae9b784d8a
5;SUPPLIER_CUSTOMER_B2B;67cc7ea4-84d4-45ab-a1b7-6798d2c76b2e;67cc7ea4-84d4-45ab-a1b7-6798d2c76b2e
6;SUPPLIER_CUSTOMER_B2B;7f0c4d18-80b8-4412-bb14-9a26fe44c9d3;7f0c4d18-80b8-4412-bb14-9a26fe44c9d3
7;SUPPLIER_CUSTOMER_B2B;19db7dd9-a21a-446e-9563-26d1b97dfd38;19db7dd9-a21a-446e-9563-26d1b97dfd38
8;SUPPLIER_CUSTOMER_B2C;cf2cf8da-d9dc-4314-a010-db2192b4aee4;cf2cf8da-d9dc-4314-a010-db2192b4aee4
9;SUPPLIER_CUSTOMER_B2B;01490ef8-bd5b-4bb1-8f2f-79640bd94d1b;01490ef8-bd5b-4bb1-8f2f-79640bd94d1b
10;SUPPLIER_CUSTOMER_B2C;d16da562-c5bf-4a55-8142-74ca7da3789d;d16da562-c5bf-4a55-8142-74ca7da3789d
