id;tracking_number;shipped_date;delivery_date
1;criminal;2024-10-22T21:05:08;2024-10-23T09:50:52
2;twine esteemed role;2024-10-23T04:26:55;2024-10-23T16:51:39
3;mid silently through;2024-10-23T12:29:20;2024-10-23T04:56:22
4;whose suddenly whereas;2024-10-22T18:55:24;2024-10-23T03:49:18
5;violently whoa;2024-10-23T11:19:10;2024-10-23T13:54:42
6;jealously of;2024-10-23T09:08:16;2024-10-23T03:43:57
7;supposing crushing gosh;2024-10-23T12:49:21;2024-10-23T08:49:25
8;bestride collaboration;2024-10-23T15:54:02;2024-10-23T09:43:49
9;pish what;2024-10-23T08:18:43;2024-10-22T18:19:50
10;anenst;2024-10-23T05:00:33;2024-10-23T11:43:13
