id;invoice_number;issue_date;due_date;amount
1;foolishly emerge drat;2024-10-23T13:49:55;2024-10-23T16:15:16;12898.14
2;depute drat grandson;2024-10-23T03:59:07;2024-10-23T09:27:24;4679.93
3;across;2024-10-23T12:11:01;2024-10-22T17:49:26;13448.07
4;for;2024-10-23T10:18:43;2024-10-23T14:51:44;7174.97
5;gee scram;2024-10-22T19:37:20;2024-10-23T10:50:04;16042.54
6;modulo;2024-10-23T04:56:35;2024-10-23T01:19:11;28718.53
7;whose;2024-10-23T11:11:50;2024-10-22T19:54:26;15597.78
8;entice epic;2024-10-23T05:35:36;2024-10-22T17:19:39;11896.86
9;amid;2024-10-23T01:10:20;2024-10-23T11:41:24;26948.72
10;dicker deeply violin;2024-10-23T03:54:29;2024-10-23T13:22:08;4540.78
