id;rating;comment;review_date
1;2;../fake-data/blob/hipster.txt;2024-10-23T13:29:26
2;2;../fake-data/blob/hipster.txt;2024-10-23T09:11:36
3;1;../fake-data/blob/hipster.txt;2024-10-22T21:37:15
4;5;../fake-data/blob/hipster.txt;2024-10-23T06:59:36
5;2;../fake-data/blob/hipster.txt;2024-10-23T02:11:10
6;2;../fake-data/blob/hipster.txt;2024-10-22T23:15:48
7;4;../fake-data/blob/hipster.txt;2024-10-23T08:06:30
8;4;../fake-data/blob/hipster.txt;2024-10-23T12:54:36
9;4;../fake-data/blob/hipster.txt;2024-10-23T03:45:01
10;3;../fake-data/blob/hipster.txt;2024-10-23T12:12:45
