id;tracking_number;shipped_date;delivery_date
1;within ha;2024-10-22T20:52:43;2024-10-22T16:26:54
2;whether;2024-10-23T07:52:40;2024-10-23T00:29:53
3;given rosemary;2024-10-23T08:12:14;2024-10-23T12:28:50
4;pomelo jeopardise;2024-10-23T01:57:35;2024-10-22T22:16:15
5;before closed;2024-10-23T00:46:04;2024-10-22T20:19:52
6;quizzically;2024-10-23T08:01:44;2024-10-22T18:02:38
7;fortunately;2024-10-23T12:09:01;2024-10-23T16:09:26
8;jealous witty oof;2024-10-23T10:14:08;2024-10-22T23:22:53
9;table pause;2024-10-22T19:44:19;2024-10-23T04:01:05
10;premier mobility;2024-10-23T13:12:17;2024-10-23T07:41:19
