id;invoice_number;issue_date;due_date;amount
1;trek via transcend;2024-10-22T23:04:16;2024-10-22T21:03:02;6946.96
2;yowza why;2024-10-23T12:38:38;2024-10-23T16:47:20;21534.9
3;gazebo source carouse;2024-10-22T22:12:04;2024-10-22T20:46:18;6662.63
4;inspect;2024-10-22T22:54:14;2024-10-23T11:58:52;17610.33
5;athletic inasmuch produce;2024-10-23T14:07:13;2024-10-23T02:07:11;19399.48
6;within;2024-10-23T12:13:16;2024-10-22T20:25:49;9645.06
7;um;2024-10-23T03:52:20;2024-10-23T01:25:00;20513.67
8;louse as log;2024-10-23T16:37:07;2024-10-23T14:17:05;27492.82
9;duh or hm;2024-10-23T11:07:17;2024-10-23T02:02:07;601.84
10;deselect aboard;2024-10-22T21:46:01;2024-10-23T15:06:57;17298.8
