id;tracking_number;shipped_date;delivery_date
1;notwithstanding;2024-10-23T03:18:35;2024-10-23T16:30:33
2;likely drat;2024-10-23T13:48:26;2024-10-23T13:36:45
3;once until border;2024-10-23T04:00:38;2024-10-22T19:55:50
4;carelessly;2024-10-23T04:43:17;2024-10-22T19:10:59
5;unlike weatherize for;2024-10-22T20:15:31;2024-10-23T11:28:57
6;complicated birdcage;2024-10-23T10:00:26;2024-10-23T17:39:09
7;above for;2024-10-23T01:10:47;2024-10-22T22:44:20
8;dead cutlet;2024-10-23T03:01:48;2024-10-23T02:35:35
9;lone eternity;2024-10-22T22:07:48;2024-10-23T04:28:42
10;facilitate agreement;2024-10-23T00:19:18;2024-10-23T13:52:17
