id;tracking_number;shipped_date;delivery_date
1;psst adaptation decongestant;2024-10-22T22:08:45;2024-10-22T19:40:30
2;prance;2024-10-22T17:16:03;2024-10-23T10:19:14
3;cheetah between;2024-10-23T15:37:17;2024-10-23T15:15:04
4;premeditation;2024-10-22T21:43:45;2024-10-23T06:24:27
5;insistent;2024-10-22T19:34:02;2024-10-23T16:05:39
6;yippee;2024-10-23T00:31:00;2024-10-23T03:45:15
7;yahoo;2024-10-23T00:01:03;2024-10-23T14:42:21
8;zesty;2024-10-23T15:37:28;2024-10-23T03:55:02
9;sensitize down fooey;2024-10-23T08:33:14;2024-10-23T07:14:33
10;pecan bah nocturnal;2024-10-23T03:14:53;2024-10-23T13:31:40
