id;rating;comment;review_date
1;5;../fake-data/blob/hipster.txt;2024-10-23T16:05:57
2;4;../fake-data/blob/hipster.txt;2024-10-23T14:07:34
3;2;../fake-data/blob/hipster.txt;2024-10-22T20:19:59
4;2;../fake-data/blob/hipster.txt;2024-10-23T09:06:47
5;3;../fake-data/blob/hipster.txt;2024-10-22T17:53:53
6;3;../fake-data/blob/hipster.txt;2024-10-23T05:43:29
7;5;../fake-data/blob/hipster.txt;2024-10-23T13:10:11
8;2;../fake-data/blob/hipster.txt;2024-10-23T08:57:01
9;1;../fake-data/blob/hipster.txt;2024-10-23T08:15:15
10;1;../fake-data/blob/hipster.txt;2024-10-23T10:46:55
