id;tracking_number;shipped_date;delivery_date
1;cinder yowza nearly;2024-10-23T13:13:51;2024-10-22T23:11:20
2;brightly;2024-10-22T21:11:01;2024-10-23T15:01:52
3;carpool irritably;2024-10-23T11:11:35;2024-10-23T09:29:23
4;nervously meh;2024-10-23T00:01:55;2024-10-23T12:55:20
5;testimonial tray;2024-10-23T01:33:21;2024-10-22T17:44:41
6;carouse hungry;2024-10-23T02:55:55;2024-10-22T20:06:19
7;plumber halt gee;2024-10-23T01:27:05;2024-10-22T23:13:02
8;ski stealthily;2024-10-22T19:29:17;2024-10-23T05:47:19
9;glimmer;2024-10-22T18:40:05;2024-10-22T17:18:07
10;adrenalin considering who;2024-10-23T04:33:59;2024-10-22T18:11:47
