id;tracking_number;shipped_date;delivery_date
1;meh;2024-10-22T20:36:43;2024-10-23T08:02:41
2;um;2024-10-22T18:39:21;2024-10-23T13:09:56
3;royal;2024-10-22T23:47:34;2024-10-23T08:02:30
4;cappelletti;2024-10-22T23:00:33;2024-10-23T04:12:27
5;sheathe as midst;2024-10-23T07:37:11;2024-10-23T03:49:39
6;unless gracefully;2024-10-23T12:22:18;2024-10-22T21:21:37
7;dress;2024-10-22T19:54:36;2024-10-23T01:28:06
8;bustling hence instead;2024-10-23T13:05:41;2024-10-23T11:17:59
9;pip serpentine intensely;2024-10-22T16:22:31;2024-10-22T17:45:27
10;judicious;2024-10-23T04:44:56;2024-10-22T19:47:04
