id;tracking_number;shipped_date;delivery_date
1;how;2024-10-23T12:17:03;2024-10-23T06:48:43
2;cap;2024-10-23T14:53:05;2024-10-23T06:30:23
3;gum;2024-10-23T13:11:16;2024-10-22T21:43:46
4;towards;2024-10-23T08:37:04;2024-10-23T13:37:24
5;until lowball finally;2024-10-23T14:09:35;2024-10-23T01:58:46
6;atop incidentally now;2024-10-23T10:50:54;2024-10-23T06:03:44
7;enormously um for;2024-10-22T23:50:10;2024-10-22T19:34:18
8;out as hmph;2024-10-23T00:39:24;2024-10-22T20:39:07
9;disarm fen nudge;2024-10-23T18:00:55;2024-10-23T12:06:34
10;duffel foodstuffs curry;2024-10-23T17:27:13;2024-10-23T04:32:38
