id;invoice_number;issue_date;due_date;amount
1;instead dim highly;2024-10-23T08:45:06;2024-10-23T03:44:27;4301.65
2;minus cycle;2024-10-23T13:00:00;2024-10-23T13:42:52;25673.51
3;sizzle exempt oh;2024-10-23T05:45:27;2024-10-23T16:31:59;31830.74
4;waist geez;2024-10-23T12:24:44;2024-10-23T08:08:25;15782.25
5;exactly in;2024-10-22T20:44:46;2024-10-23T08:22:49;24238.24
6;overcook fooey;2024-10-23T18:53:29;2024-10-23T03:40:32;20934.46
7;athwart ew limp;2024-10-22T23:54:17;2024-10-23T01:13:42;558.27
8;briskly greatly deliquesce;2024-10-23T14:53:45;2024-10-23T03:25:27;17713.58
9;reflate;2024-10-23T08:31:07;2024-10-23T17:11:17;12426.94
10;carefree outside skeleton;2024-10-23T05:30:50;2024-10-23T04:01:00;5802.55
