id;invoice_number;issue_date;due_date;amount
1;graceful;2024-10-22T18:19:58;2024-10-23T15:02:58;650.31
2;publicize;2024-10-22T17:21:10;2024-10-23T01:43:18;21968.11
3;when blink boohoo;2024-10-22T21:23:47;2024-10-23T04:29:51;1203.87
4;slow via dense;2024-10-22T22:20:55;2024-10-23T02:56:38;31060.02
5;foolishly shirk;2024-10-23T16:31:40;2024-10-22T17:20:38;28998.21
6;while greedily offend;2024-10-22T20:03:26;2024-10-23T09:36:15;7275.38
7;scientific despite;2024-10-22T20:30:08;2024-10-23T06:41:46;7848.09
8;whether frankly pfft;2024-10-22T21:32:09;2024-10-22T19:57:30;10828.67
9;aha advancement intend;2024-10-23T16:10:05;2024-10-22T22:41:34;21098.77
10;pish when pfft;2024-10-22T20:00:47;2024-10-22T17:19:03;26410.71
