id;tracking_number;shipped_date;delivery_date
1;greedily by;2024-10-23T14:32:45;2024-10-23T02:21:12
2;shyly um politely;2024-10-23T06:08:28;2024-10-23T16:09:10
3;mmm;2024-10-22T19:41:36;2024-10-23T04:10:47
4;from above circle;2024-10-22T19:56:20;2024-10-23T05:35:15
5;scare given generally;2024-10-23T01:07:51;2024-10-23T04:07:48
6;repurpose whereas;2024-10-23T12:37:23;2024-10-22T20:13:05
7;a;2024-10-23T01:04:19;2024-10-23T13:23:03
8;rigidly;2024-10-22T19:00:14;2024-10-23T00:10:50
9;like tag longingly;2024-10-22T19:03:50;2024-10-23T13:14:06
10;aside;2024-10-23T00:20:54;2024-10-23T10:08:33
