id;invoice_number;issue_date;due_date;amount
1;utter;2024-10-22T21:31:58;2024-10-23T07:08:14;5074.55
2;consequently woot;2024-10-23T08:49:48;2024-10-22T23:47:54;6308.79
3;tooth uselessly;2024-10-23T13:45:33;2024-10-23T16:08:43;13171.71
4;reorient tight;2024-10-23T05:53:02;2024-10-22T22:14:33;18572.96
5;strait curry;2024-10-23T00:04:36;2024-10-23T13:16:58;27774.11
6;tousle fooey but;2024-10-22T22:22:59;2024-10-23T08:49:25;10315.16
7;whoever;2024-10-22T20:40:15;2024-10-23T08:12:31;1208.44
8;consequently;2024-10-23T04:30:11;2024-10-22T19:39:35;25200.55
9;yum fooey commonly;2024-10-23T06:14:40;2024-10-23T16:21:45;12518.81
10;fabricate eek how;2024-10-23T04:36:45;2024-10-23T14:10:48;15230.03
