id;invoice_number;issue_date;due_date;amount
1;pronoun;2024-10-23T13:37:19;2024-10-22T19:02:24;3387.46
2;malfunction;2024-10-23T12:52:55;2024-10-22T22:59:00;15178.2
3;instructor boom commercial;2024-10-23T00:00:56;2024-10-23T13:36:09;8738.31
4;ick;2024-10-23T03:09:07;2024-10-23T10:56:16;7323.85
5;keenly granular;2024-10-22T21:18:15;2024-10-23T05:54:55;6661.93
6;shampoo warm;2024-10-23T13:40:00;2024-10-23T12:25:44;3106.52
7;kosher approach concrete;2024-10-23T07:42:15;2024-10-23T07:07:16;28399.52
8;glaring wide even;2024-10-23T10:22:37;2024-10-23T16:58:59;27440.46
9;what gosh cruelly;2024-10-23T12:00:19;2024-10-22T19:25:12;8540.39
10;battle service;2024-10-23T09:32:16;2024-10-23T00:00:07;21334.25
