id;tracking_number;shipped_date;delivery_date
1;than whether arrogantly;2024-10-22T18:41:49;2024-10-23T01:11:38
2;intently upon;2024-10-23T17:29:18;2024-10-22T23:06:49
3;round;2024-10-23T02:41:57;2024-10-23T13:48:37
4;atop see;2024-10-23T07:01:26;2024-10-23T12:41:50
5;charlatan;2024-10-22T19:44:37;2024-10-22T22:41:17
6;yippee rightfully hm;2024-10-22T20:35:48;2024-10-22T23:37:51
7;whenever joint often;2024-10-23T07:43:22;2024-10-23T10:03:20
8;aside;2024-10-22T22:29:49;2024-10-23T10:49:33
9;because lest;2024-10-23T10:47:46;2024-10-23T08:42:25
10;hmph how;2024-10-22T22:19:56;2024-10-23T07:06:38
