id;invoice_number;issue_date;due_date;amount
1;foolishly emerge drat;2024-10-23T13:51:00;2024-10-23T16:16:21;12898.14
2;depute drat grandson;2024-10-23T04:00:12;2024-10-23T09:28:29;4679.93
3;across;2024-10-23T12:12:06;2024-10-22T17:50:31;13448.07
4;for;2024-10-23T10:19:48;2024-10-23T14:52:49;7174.97
5;gee scram;2024-10-22T19:38:25;2024-10-23T10:51:09;16042.54
6;modulo;2024-10-23T04:57:40;2024-10-23T01:20:16;28718.53
7;whose;2024-10-23T11:12:55;2024-10-22T19:55:31;15597.78
8;entice epic;2024-10-23T05:36:41;2024-10-22T17:20:44;11896.86
9;amid;2024-10-23T01:11:25;2024-10-23T11:42:29;26948.72
10;dicker deeply violin;2024-10-23T03:55:34;2024-10-23T13:23:13;4540.78
