id;invoice_number;issue_date;due_date;amount
1;taxicab gallivant;2024-10-23T01:53:06;2024-10-23T02:54:33;15715.11
2;coin drum;2024-10-23T10:56:13;2024-10-23T14:21:58;6198.24
3;till;2024-10-23T07:25:56;2024-10-23T14:42:42;24877.26
4;since;2024-10-23T08:03:00;2024-10-22T18:42:25;26640.39
5;failing minus satirise;2024-10-23T07:03:38;2024-10-23T03:14:29;11418.48
6;numb;2024-10-23T07:35:42;2024-10-23T15:53:29;26288.77
7;furthermore;2024-10-23T05:16:27;2024-10-23T01:12:11;1349.06
8;gracefully gradient firsthand;2024-10-22T17:44:30;2024-10-23T06:52:12;14846.08
9;along helpfully bah;2024-10-23T07:04:46;2024-10-23T15:57:51;24823.45
10;zany;2024-10-23T12:44:01;2024-10-23T07:47:33;6451.43
