id;tracking_number;shipped_date;delivery_date
1;cinder yowza nearly;2024-10-23T13:14:56;2024-10-22T23:12:25
2;brightly;2024-10-22T21:12:06;2024-10-23T15:02:57
3;carpool irritably;2024-10-23T11:12:40;2024-10-23T09:30:28
4;nervously meh;2024-10-23T00:03:00;2024-10-23T12:56:25
5;testimonial tray;2024-10-23T01:34:26;2024-10-22T17:45:46
6;carouse hungry;2024-10-23T02:57:00;2024-10-22T20:07:24
7;plumber halt gee;2024-10-23T01:28:10;2024-10-22T23:14:07
8;ski stealthily;2024-10-22T19:30:22;2024-10-23T05:48:24
9;glimmer;2024-10-22T18:41:10;2024-10-22T17:19:12
10;adrenalin considering who;2024-10-23T04:35:04;2024-10-22T18:12:52
