id;name;price;stock;description
1;well lend;28904.01;17776;../fake-data/blob/hipster.txt
2;stingy gloss;11693.72;32478;../fake-data/blob/hipster.txt
3;prudent mostly categorise;9992.65;31956;../fake-data/blob/hipster.txt
4;coliseum blind meh;13158.51;7133;../fake-data/blob/hipster.txt
5;but;13362.67;31517;../fake-data/blob/hipster.txt
6;joshingly;24019.4;12218;../fake-data/blob/hipster.txt
7;ah huzzah;30778.24;14663;../fake-data/blob/hipster.txt
8;geez netsuke;28924.47;7654;../fake-data/blob/hipster.txt
9;ugh;1475.11;21620;../fake-data/blob/hipster.txt
10;but whereas;8505.25;19620;../fake-data/blob/hipster.txt
