id;tracking_number;shipped_date;delivery_date
1;meh;2024-10-22T20:37:48;2024-10-23T08:03:46
2;um;2024-10-22T18:40:26;2024-10-23T13:11:01
3;royal;2024-10-22T23:48:39;2024-10-23T08:03:35
4;cappelletti;2024-10-22T23:01:38;2024-10-23T04:13:32
5;sheathe as midst;2024-10-23T07:38:16;2024-10-23T03:50:44
6;unless gracefully;2024-10-23T12:23:23;2024-10-22T21:22:42
7;dress;2024-10-22T19:55:41;2024-10-23T01:29:11
8;bustling hence instead;2024-10-23T13:06:46;2024-10-23T11:19:04
9;pip serpentine intensely;2024-10-22T16:23:36;2024-10-22T17:46:32
10;judicious;2024-10-23T04:46:01;2024-10-22T19:48:09
