id;invoice_number;issue_date;due_date;amount
1;octave moralise;2024-10-23T13:03:00;2024-10-22T20:08:39;27304.56
2;needily narrowcast phew;2024-10-22T18:44:03;2024-10-22T19:31:49;4260.17
3;uh-huh near;2024-10-23T01:27:12;2024-10-23T07:12:32;16652.73
4;fleck thunderbolt;2024-10-23T12:58:16;2024-10-23T02:04:07;28276.45
5;custody epic helpfully;2024-10-22T23:51:03;2024-10-23T14:57:32;1181.84
6;debit;2024-10-22T19:40:12;2024-10-22T21:03:37;28089.18
7;instead um exactly;2024-10-23T11:56:41;2024-10-22T20:22:40;13622.9
8;motionless mountain;2024-10-22T17:08:10;2024-10-23T05:37:34;29692.7
9;mould per;2024-10-22T23:19:10;2024-10-23T05:10:29;32684.23
10;yuck if;2024-10-23T06:03:06;2024-10-23T01:20:38;1065.76
