id;invoice_number;issue_date;due_date;amount
1;boohoo corny;2024-10-23T05:39:20;2024-10-23T06:04:07;4988.58
2;energetically before than;2024-10-22T20:04:29;2024-10-23T11:46:55;22371.14
3;gosh;2024-10-23T03:09:24;2024-10-22T23:37:09;27033.01
4;below;2024-10-22T18:33:44;2024-10-22T21:56:53;8443.54
5;loyally coolly stranger;2024-10-22T23:51:35;2024-10-23T06:19:55;7055.67
6;before incidentally;2024-10-22T20:50:45;2024-10-22T19:35:40;24490.58
7;dispose;2024-10-22T18:59:39;2024-10-23T05:49:54;8613.08
8;surprise stylish;2024-10-23T11:31:57;2024-10-23T09:05:31;21624.27
9;ha why;2024-10-22T19:37:05;2024-10-23T14:33:14;196.03
10;drat easily however;2024-10-23T13:24:25;2024-10-22T19:59:05;13127.99
