id;tracking_number;shipped_date;delivery_date
1;psst adaptation decongestant;2024-10-22T22:09:50;2024-10-22T19:41:35
2;prance;2024-10-22T17:17:08;2024-10-23T10:20:19
3;cheetah between;2024-10-23T15:38:22;2024-10-23T15:16:09
4;premeditation;2024-10-22T21:44:50;2024-10-23T06:25:32
5;insistent;2024-10-22T19:35:07;2024-10-23T16:06:44
6;yippee;2024-10-23T00:32:05;2024-10-23T03:46:20
7;yahoo;2024-10-23T00:02:08;2024-10-23T14:43:26
8;zesty;2024-10-23T15:38:33;2024-10-23T03:56:07
9;sensitize down fooey;2024-10-23T08:34:19;2024-10-23T07:15:38
10;pecan bah nocturnal;2024-10-23T03:15:58;2024-10-23T13:32:45
