id;tracking_number;shipped_date;delivery_date
1;how;2024-10-23T12:18:08;2024-10-23T06:49:48
2;cap;2024-10-23T14:54:10;2024-10-23T06:31:28
3;gum;2024-10-23T13:12:21;2024-10-22T21:44:51
4;towards;2024-10-23T08:38:09;2024-10-23T13:38:29
5;until lowball finally;2024-10-23T14:10:40;2024-10-23T01:59:51
6;atop incidentally now;2024-10-23T10:51:59;2024-10-23T06:04:49
7;enormously um for;2024-10-22T23:51:15;2024-10-22T19:35:23
8;out as hmph;2024-10-23T00:40:29;2024-10-22T20:40:12
9;disarm fen nudge;2024-10-23T18:02:00;2024-10-23T12:07:39
10;duffel foodstuffs curry;2024-10-23T17:28:18;2024-10-23T04:33:43
