id;rating;comment;review_date
1;5;../fake-data/blob/hipster.txt;2024-10-23T16:07:02
2;4;../fake-data/blob/hipster.txt;2024-10-23T14:08:39
3;2;../fake-data/blob/hipster.txt;2024-10-22T20:21:04
4;2;../fake-data/blob/hipster.txt;2024-10-23T09:07:52
5;3;../fake-data/blob/hipster.txt;2024-10-22T17:54:58
6;3;../fake-data/blob/hipster.txt;2024-10-23T05:44:34
7;5;../fake-data/blob/hipster.txt;2024-10-23T13:11:16
8;2;../fake-data/blob/hipster.txt;2024-10-23T08:58:06
9;1;../fake-data/blob/hipster.txt;2024-10-23T08:16:20
10;1;../fake-data/blob/hipster.txt;2024-10-23T10:48:00
