id;tracking_number;shipped_date;delivery_date
1;within ha;2024-10-20T19:39:35;2024-10-20T15:13:46
2;whether;2024-10-21T06:39:32;2024-10-20T23:16:45
3;given rosemary;2024-10-21T06:59:06;2024-10-21T11:15:42
4;pomelo jeopardise;2024-10-21T00:44:27;2024-10-20T21:03:07
5;before closed;2024-10-20T23:32:56;2024-10-20T19:06:44
6;quizzically;2024-10-21T06:48:36;2024-10-20T16:49:30
7;fortunately;2024-10-21T10:55:53;2024-10-21T14:56:18
8;jealous witty oof;2024-10-21T09:01:00;2024-10-20T22:09:45
9;table pause;2024-10-20T18:31:11;2024-10-21T02:47:57
10;premier mobility;2024-10-21T11:59:09;2024-10-21T06:28:11
