id;invoice_number;issue_date;due_date;amount
1;octave moralise;2024-10-21T11:48:47;2024-10-20T18:54:26;27304.56
2;needily narrowcast phew;2024-10-20T17:29:50;2024-10-20T18:17:36;4260.17
3;uh-huh near;2024-10-21T00:12:59;2024-10-21T05:58:19;16652.73
4;fleck thunderbolt;2024-10-21T11:44:03;2024-10-21T00:49:54;28276.45
5;custody epic helpfully;2024-10-20T22:36:50;2024-10-21T13:43:19;1181.84
6;debit;2024-10-20T18:25:59;2024-10-20T19:49:24;28089.18
7;instead um exactly;2024-10-21T10:42:28;2024-10-20T19:08:27;13622.9
8;motionless mountain;2024-10-20T15:53:57;2024-10-21T04:23:21;29692.7
9;mould per;2024-10-20T22:04:57;2024-10-21T03:56:16;32684.23
10;yuck if;2024-10-21T04:48:53;2024-10-21T00:06:25;1065.76
