id;invoice_number;issue_date;due_date;amount
1;mid;2024-10-21T02:52:52;2024-10-21T04:42:24;31074.64
2;regarding before sadly;2024-10-21T13:05:12;2024-10-21T05:56:10;25917.4
3;weight;2024-10-20T21:10:58;2024-10-20T16:45:26;4322.44
4;markup once;2024-10-20T18:56:42;2024-10-21T05:10:21;387.9
5;astride heartfelt;2024-10-20T21:52:22;2024-10-21T02:06:35;11688.51
6;ouch;2024-10-20T17:32:51;2024-10-20T16:28:55;14350.48
7;claw barring SUV;2024-10-21T05:58:08;2024-10-21T06:01:46;3623.16
8;wry;2024-10-21T05:39:28;2024-10-21T11:56:21;14171.2
9;progress;2024-10-21T01:41:55;2024-10-21T14:50:13;10390.74
10;even;2024-10-20T15:57:36;2024-10-21T14:06:05;28555.9
