id;tracking_number;shipped_date;delivery_date
1;within ha;2024-10-20T15:30:23;2024-10-20T11:04:34
2;whether;2024-10-21T02:30:20;2024-10-20T19:07:33
3;given rosemary;2024-10-21T02:49:54;2024-10-21T07:06:30
4;pomelo jeopardise;2024-10-20T20:35:15;2024-10-20T16:53:55
5;before closed;2024-10-20T19:23:44;2024-10-20T14:57:32
6;quizzically;2024-10-21T02:39:24;2024-10-20T12:40:18
7;fortunately;2024-10-21T06:46:41;2024-10-21T10:47:06
8;jealous witty oof;2024-10-21T04:51:48;2024-10-20T18:00:33
9;table pause;2024-10-20T14:21:59;2024-10-20T22:38:45
10;premier mobility;2024-10-21T07:49:57;2024-10-21T02:18:59
