id;tracking_number;shipped_date;delivery_date
1;meh;2024-10-20T15:14:23;2024-10-21T02:40:21
2;um;2024-10-20T13:17:01;2024-10-21T07:47:36
3;royal;2024-10-20T18:25:14;2024-10-21T02:40:10
4;cappelletti;2024-10-20T17:38:13;2024-10-20T22:50:07
5;sheathe as midst;2024-10-21T02:14:51;2024-10-20T22:27:19
6;unless gracefully;2024-10-21T06:59:58;2024-10-20T15:59:17
7;dress;2024-10-20T14:32:16;2024-10-20T20:05:46
8;bustling hence instead;2024-10-21T07:43:21;2024-10-21T05:55:39
9;pip serpentine intensely;2024-10-20T11:00:11;2024-10-20T12:23:07
10;judicious;2024-10-20T23:22:36;2024-10-20T14:24:44
