id;invoice_number;issue_date;due_date;amount
1;mid;2024-10-20T22:43:40;2024-10-21T00:33:12;31074.64
2;regarding before sadly;2024-10-21T08:56:00;2024-10-21T01:46:58;25917.4
3;weight;2024-10-20T17:01:46;2024-10-20T12:36:14;4322.44
4;markup once;2024-10-20T14:47:30;2024-10-21T01:01:09;387.9
5;astride heartfelt;2024-10-20T17:43:10;2024-10-20T21:57:23;11688.51
6;ouch;2024-10-20T13:23:39;2024-10-20T12:19:43;14350.48
7;claw barring SUV;2024-10-21T01:48:56;2024-10-21T01:52:34;3623.16
8;wry;2024-10-21T01:30:16;2024-10-21T07:47:09;14171.2
9;progress;2024-10-20T21:32:43;2024-10-21T10:41:01;10390.74
10;even;2024-10-20T11:48:24;2024-10-21T09:56:53;28555.9
