id;invoice_number;issue_date;due_date;amount
1;octave moralise;2024-10-21T07:39:35;2024-10-20T14:45:14;27304.56
2;needily narrowcast phew;2024-10-20T13:20:38;2024-10-20T14:08:24;4260.17
3;uh-huh near;2024-10-20T20:03:47;2024-10-21T01:49:07;16652.73
4;fleck thunderbolt;2024-10-21T07:34:51;2024-10-20T20:40:42;28276.45
5;custody epic helpfully;2024-10-20T18:27:38;2024-10-21T09:34:07;1181.84
6;debit;2024-10-20T14:16:47;2024-10-20T15:40:12;28089.18
7;instead um exactly;2024-10-21T06:33:16;2024-10-20T14:59:15;13622.9
8;motionless mountain;2024-10-20T11:44:45;2024-10-21T00:14:09;29692.7
9;mould per;2024-10-20T17:55:45;2024-10-20T23:47:04;32684.23
10;yuck if;2024-10-21T00:39:41;2024-10-20T19:57:13;1065.76
