id;invoice_number;issue_date;due_date;amount
1;foolishly emerge drat;2024-10-21T08:27:35;2024-10-21T10:52:56;12898.14
2;depute drat grandson;2024-10-20T22:36:47;2024-10-21T04:05:04;4679.93
3;across;2024-10-21T06:48:41;2024-10-20T12:27:06;13448.07
4;for;2024-10-21T04:56:23;2024-10-21T09:29:24;7174.97
5;gee scram;2024-10-20T14:15:00;2024-10-21T05:27:44;16042.54
6;modulo;2024-10-20T23:34:15;2024-10-20T19:56:51;28718.53
7;whose;2024-10-21T05:49:30;2024-10-20T14:32:06;15597.78
8;entice epic;2024-10-21T00:13:16;2024-10-20T11:57:19;11896.86
9;amid;2024-10-20T19:48:00;2024-10-21T06:19:04;26948.72
10;dicker deeply violin;2024-10-20T22:32:09;2024-10-21T07:59:48;4540.78
