id;tracking_number;shipped_date;delivery_date
1;psst adaptation decongestant;2024-10-20T16:46:25;2024-10-20T14:18:10
2;prance;2024-10-20T11:53:43;2024-10-21T04:56:54
3;cheetah between;2024-10-21T10:14:57;2024-10-21T09:52:44
4;premeditation;2024-10-20T16:21:25;2024-10-21T01:02:07
5;insistent;2024-10-20T14:11:42;2024-10-21T10:43:19
6;yippee;2024-10-20T19:08:40;2024-10-20T22:22:55
7;yahoo;2024-10-20T18:38:43;2024-10-21T09:20:01
8;zesty;2024-10-21T10:15:08;2024-10-20T22:32:42
9;sensitize down fooey;2024-10-21T03:10:54;2024-10-21T01:52:13
10;pecan bah nocturnal;2024-10-20T21:52:33;2024-10-21T08:09:20
