id;tracking_number;shipped_date;delivery_date
1;cinder yowza nearly;2024-10-21T12:08:11;2024-10-20T22:05:40
2;brightly;2024-10-20T20:05:21;2024-10-21T13:56:12
3;carpool irritably;2024-10-21T10:05:55;2024-10-21T08:23:43
4;nervously meh;2024-10-20T22:56:15;2024-10-21T11:49:40
5;testimonial tray;2024-10-21T00:27:41;2024-10-20T16:39:01
6;carouse hungry;2024-10-21T01:50:15;2024-10-20T19:00:39
7;plumber halt gee;2024-10-21T00:21:25;2024-10-20T22:07:22
8;ski stealthily;2024-10-20T18:23:37;2024-10-21T04:41:39
9;glimmer;2024-10-20T17:34:25;2024-10-20T16:12:27
10;adrenalin considering who;2024-10-21T03:28:19;2024-10-20T17:06:07
