id;invoice_number;issue_date;due_date;amount
1;sensitize which;2024-10-20T16:24:59;2024-10-21T09:26:03;26136.27
2;volleyball greedily;2024-10-20T18:33:49;2024-10-21T06:15:13;4027.71
3;who reassuringly inure;2024-10-20T19:36:27;2024-10-21T13:08:12;14951.91
4;versus providence very;2024-10-21T06:56:30;2024-10-21T09:58:47;18694.57
5;which instead er;2024-10-20T18:45:56;2024-10-20T20:06:56;32521.77
6;harangue;2024-10-20T22:36:29;2024-10-21T00:43:36;20002.22
7;drain;2024-10-21T03:10:41;2024-10-21T15:03:15;26780.63
8;wolf charter;2024-10-21T11:47:54;2024-10-21T09:37:25;8424.97
9;oh huzzah psst;2024-10-21T04:03:28;2024-10-21T00:20:31;26258.74
10;wrongly;2024-10-21T09:30:56;2024-10-20T15:37:47;28736.54
