id;name;description;can_do_retail;is_org_division;config_jason;tree_depth
e88be87b-a180-46f8-a2f5-39fd8b596659;yippee;outrun;true;false;opposite;21573
13b92b83-05e1-4904-b969-f98b99267f1d;tabletop furthermore;making kiddingly realistic;false;true;while nutritious peony;30771
09cc8535-dce3-41f4-84de-8e6ddd91b770;judicious;handover;false;true;furthermore;6338
654e4e49-159b-44e1-aada-3336bfa88cf6;until er;fooey scarcely unless;true;true;disinherit;9932
385e95b3-bac6-4de9-9e69-ecc72e865bfc;pantyhose kielbasa;institutionalize who ha;false;true;pish babushka;10781
5dd16dc1-396a-4bd6-9ed7-8dd16ab81f21;pish banish;incidentally reluctantly until;false;true;um;3210
a67652c9-f012-4995-b70d-367a00863b56;into easily;if lest;true;false;ha;1120
a7208add-6d51-46c9-827b-717283819500;worth blah diligently;for;false;true;mean;10687
d27a9946-e4f7-4e9b-bf0c-ae7313153860;seldom ha mythology;down;true;true;continually lonely across;884
b9071901-8922-4b7d-8e8b-0d928dc94054;considering;lazy;true;false;per pace;3888
