id;name;weight;probability_of_winning;maximum_winning_time;is_winning_time_limited;award_result_type;award_reference;is_default
7dfb4e3d-b152-4b5a-9741-14d4f0483169;indeed;29066;31364.34;28188;true;LOST;whose which;true
5b586de3-7684-4ee0-b0b7-122be8428f4b;pfft meanwhile;7378;26965.55;20471;true;LOST;almost after phooey;true
3e7ab792-e131-4426-8491-250cdb3e4414;passionate down;17295;5558.04;15973;false;PLAY_TIMES;hydrolyze but till;false
ce0e7f71-7225-48e3-9b0b-a04006bbdaf6;boohoo front;7893;8668.58;12592;false;PLAY_TIMES;once but;true
cc2a7cdb-01b3-4b3c-8940-adda1018d14e;dandelion joy and;8310;12956.79;29643;false;LOST;experienced scarification;true
a726339b-def7-4017-bc22-67e8a2d9facb;beneath categorise;18271;20247.12;22177;true;PLAY_TIMES;unruly;true
c0605036-9466-4fbf-a2b5-59b938b1f4b8;slather hmph illusion;24827;11002.56;6247;false;PLAY_TIMES;brush devise pull;true
7a5c32e5-6ba2-4508-ba5a-04b4e7cc4471;gee;14328;11846.45;6345;true;LOST;ack tentacle;true
b2159615-294c-4718-b0c9-e5208fa0a659;indeed minus;28662;27618.74;22956;false;LOST;besides off supposing;false
ae348cec-b772-42a6-b298-be03c67e1952;before jogging bleach;12255;6086.49;24341;false;LOST;against yahoo nor;true
