id;type;supplier_id;customer_id
1;SUPPLIER_CUSTOMER_B2C;e88be87b-a180-46f8-a2f5-39fd8b596659;e88be87b-a180-46f8-a2f5-39fd8b596659
2;SUPPLIER_CUSTOMER_B2B;13b92b83-05e1-4904-b969-f98b99267f1d;13b92b83-05e1-4904-b969-f98b99267f1d
3;SUPPLIER_CUSTOMER_B2C;09cc8535-dce3-41f4-84de-8e6ddd91b770;09cc8535-dce3-41f4-84de-8e6ddd91b770
4;SUPPLIER_CUSTOMER_B2C;654e4e49-159b-44e1-aada-3336bfa88cf6;654e4e49-159b-44e1-aada-3336bfa88cf6
5;SUPPLIER_CUSTOMER_B2C;385e95b3-bac6-4de9-9e69-ecc72e865bfc;385e95b3-bac6-4de9-9e69-ecc72e865bfc
6;SUPPLIER_CUSTOMER_B2C;5dd16dc1-396a-4bd6-9ed7-8dd16ab81f21;5dd16dc1-396a-4bd6-9ed7-8dd16ab81f21
7;SUPPLIER_CUSTOMER_B2C;a67652c9-f012-4995-b70d-367a00863b56;a67652c9-f012-4995-b70d-367a00863b56
8;SUPPLIER_CUSTOMER_B2C;a7208add-6d51-46c9-827b-717283819500;a7208add-6d51-46c9-827b-717283819500
9;SUPPLIER_CUSTOMER_B2B;d27a9946-e4f7-4e9b-bf0c-ae7313153860;d27a9946-e4f7-4e9b-bf0c-ae7313153860
10;SUPPLIER_CUSTOMER_B2B;b9071901-8922-4b7d-8e8b-0d928dc94054;b9071901-8922-4b7d-8e8b-0d928dc94054
