id;invoice_number;issue_date;due_date;amount
1;mid;2024-10-20T20:58:15;2024-10-20T22:47:47;31074.64
2;regarding before sadly;2024-10-21T07:10:35;2024-10-21T00:01:33;25917.4
3;weight;2024-10-20T15:16:21;2024-10-20T10:50:49;4322.44
4;markup once;2024-10-20T13:02:05;2024-10-20T23:15:44;387.9
5;astride heartfelt;2024-10-20T15:57:45;2024-10-20T20:11:58;11688.51
6;ouch;2024-10-20T11:38:14;2024-10-20T10:34:18;14350.48
7;claw barring SUV;2024-10-21T00:03:31;2024-10-21T00:07:09;3623.16
8;wry;2024-10-20T23:44:51;2024-10-21T06:01:44;14171.2
9;progress;2024-10-20T19:47:18;2024-10-21T08:55:36;10390.74
10;even;2024-10-20T10:02:59;2024-10-21T08:11:28;28555.9
