id;tracking_number;shipped_date;delivery_date
1;meh;2024-10-20T13:28:58;2024-10-21T00:54:56
2;um;2024-10-20T11:31:36;2024-10-21T06:02:11
3;royal;2024-10-20T16:39:49;2024-10-21T00:54:45
4;cappelletti;2024-10-20T15:52:48;2024-10-20T21:04:42
5;sheathe as midst;2024-10-21T00:29:26;2024-10-20T20:41:54
6;unless gracefully;2024-10-21T05:14:33;2024-10-20T14:13:52
7;dress;2024-10-20T12:46:51;2024-10-20T18:20:21
8;bustling hence instead;2024-10-21T05:57:56;2024-10-21T04:10:14
9;pip serpentine intensely;2024-10-20T09:14:46;2024-10-20T10:37:42
10;judicious;2024-10-20T21:37:11;2024-10-20T12:39:19
