id;tracking_number;shipped_date;delivery_date
1;greedily by;2024-10-21T13:25:46;2024-10-21T01:14:13
2;shyly um politely;2024-10-21T05:01:29;2024-10-21T15:02:11
3;mmm;2024-10-20T18:34:37;2024-10-21T03:03:48
4;from above circle;2024-10-20T18:49:21;2024-10-21T04:28:16
5;scare given generally;2024-10-21T00:00:52;2024-10-21T03:00:49
6;repurpose whereas;2024-10-21T11:30:24;2024-10-20T19:06:06
7;a;2024-10-20T23:57:20;2024-10-21T12:16:04
8;rigidly;2024-10-20T17:53:15;2024-10-20T23:03:51
9;like tag longingly;2024-10-20T17:56:51;2024-10-21T12:07:07
10;aside;2024-10-20T23:13:55;2024-10-21T09:01:34
