id;invoice_number;issue_date;due_date;amount
1;mid;2024-10-20T22:34:23;2024-10-21T00:23:55;31074.64
2;regarding before sadly;2024-10-21T08:46:43;2024-10-21T01:37:41;25917.4
3;weight;2024-10-20T16:52:29;2024-10-20T12:26:57;4322.44
4;markup once;2024-10-20T14:38:13;2024-10-21T00:51:52;387.9
5;astride heartfelt;2024-10-20T17:33:53;2024-10-20T21:48:06;11688.51
6;ouch;2024-10-20T13:14:22;2024-10-20T12:10:26;14350.48
7;claw barring SUV;2024-10-21T01:39:39;2024-10-21T01:43:17;3623.16
8;wry;2024-10-21T01:20:59;2024-10-21T07:37:52;14171.2
9;progress;2024-10-20T21:23:26;2024-10-21T10:31:44;10390.74
10;even;2024-10-20T11:39:07;2024-10-21T09:47:36;28555.9
