id;invoice_number;issue_date;due_date;amount
1;octave moralise;2024-10-21T07:30:18;2024-10-20T14:35:57;27304.56
2;needily narrowcast phew;2024-10-20T13:11:21;2024-10-20T13:59:07;4260.17
3;uh-huh near;2024-10-20T19:54:30;2024-10-21T01:39:50;16652.73
4;fleck thunderbolt;2024-10-21T07:25:34;2024-10-20T20:31:25;28276.45
5;custody epic helpfully;2024-10-20T18:18:21;2024-10-21T09:24:50;1181.84
6;debit;2024-10-20T14:07:30;2024-10-20T15:30:55;28089.18
7;instead um exactly;2024-10-21T06:23:59;2024-10-20T14:49:58;13622.9
8;motionless mountain;2024-10-20T11:35:28;2024-10-21T00:04:52;29692.7
9;mould per;2024-10-20T17:46:28;2024-10-20T23:37:47;32684.23
10;yuck if;2024-10-21T00:30:24;2024-10-20T19:47:56;1065.76
