id;tracking_number;shipped_date;delivery_date
1;cinder yowza nearly;2024-10-21T07:42:14;2024-10-20T17:39:43
2;brightly;2024-10-20T15:39:24;2024-10-21T09:30:15
3;carpool irritably;2024-10-21T05:39:58;2024-10-21T03:57:46
4;nervously meh;2024-10-20T18:30:18;2024-10-21T07:23:43
5;testimonial tray;2024-10-20T20:01:44;2024-10-20T12:13:04
6;carouse hungry;2024-10-20T21:24:18;2024-10-20T14:34:42
7;plumber halt gee;2024-10-20T19:55:28;2024-10-20T17:41:25
8;ski stealthily;2024-10-20T13:57:40;2024-10-21T00:15:42
9;glimmer;2024-10-20T13:08:28;2024-10-20T11:46:30
10;adrenalin considering who;2024-10-20T23:02:22;2024-10-20T12:40:10
