id;invoice_number;issue_date;due_date;amount
1;mid;2024-10-21T02:52:36;2024-10-21T04:42:08;31074.64
2;regarding before sadly;2024-10-21T13:04:56;2024-10-21T05:55:54;25917.4
3;weight;2024-10-20T21:10:42;2024-10-20T16:45:10;4322.44
4;markup once;2024-10-20T18:56:26;2024-10-21T05:10:05;387.9
5;astride heartfelt;2024-10-20T21:52:06;2024-10-21T02:06:19;11688.51
6;ouch;2024-10-20T17:32:35;2024-10-20T16:28:39;14350.48
7;claw barring SUV;2024-10-21T05:57:52;2024-10-21T06:01:30;3623.16
8;wry;2024-10-21T05:39:12;2024-10-21T11:56:05;14171.2
9;progress;2024-10-21T01:41:39;2024-10-21T14:49:57;10390.74
10;even;2024-10-20T15:57:20;2024-10-21T14:05:49;28555.9
