id;tracking_number;shipped_date;delivery_date
1;cinder yowza nearly;2024-10-21T07:43:28;2024-10-20T17:40:57
2;brightly;2024-10-20T15:40:38;2024-10-21T09:31:29
3;carpool irritably;2024-10-21T05:41:12;2024-10-21T03:59:00
4;nervously meh;2024-10-20T18:31:32;2024-10-21T07:24:57
5;testimonial tray;2024-10-20T20:02:58;2024-10-20T12:14:18
6;carouse hungry;2024-10-20T21:25:32;2024-10-20T14:35:56
7;plumber halt gee;2024-10-20T19:56:42;2024-10-20T17:42:39
8;ski stealthily;2024-10-20T13:58:54;2024-10-21T00:16:56
9;glimmer;2024-10-20T13:09:42;2024-10-20T11:47:44
10;adrenalin considering who;2024-10-20T23:03:36;2024-10-20T12:41:24
