id;rating;comment;review_date
1;3;../fake-data/blob/hipster.txt;2024-10-20T13:20:35
2;3;../fake-data/blob/hipster.txt;2024-10-21T07:00:25
3;1;../fake-data/blob/hipster.txt;2024-10-21T03:03:07
4;2;../fake-data/blob/hipster.txt;2024-10-20T19:06:30
5;2;../fake-data/blob/hipster.txt;2024-10-20T18:03:12
6;3;../fake-data/blob/hipster.txt;2024-10-21T06:02:12
7;1;../fake-data/blob/hipster.txt;2024-10-20T19:23:01
8;2;../fake-data/blob/hipster.txt;2024-10-20T21:53:35
9;2;../fake-data/blob/hipster.txt;2024-10-21T05:51:35
10;1;../fake-data/blob/hipster.txt;2024-10-20T23:45:42
